Molecule,SHAP_Vibrational ZPE,SHAP_Polarizability,SHAP_Dipole Moment,SHAP_Adiabatic IE,SHAP_Cohesive Energy,SHAP_Molecular Mass,SHAP_Number e-,SHAP_Molecular Volume
CC_Cl__Cl_Cl,-0.08574313127198395,0.3282626444135646,0.17935341866549534,-0.3832748415109526,0.12299400477915891,0.14237861328106957,0.634006904990607,0.38730138654869367
CCl,-0.0822102586582659,-0.10977267433723568,0.19593719532751525,-0.16942845226176376,-0.28006969127609926,-0.8906368283898656,1.1010538665630627,-0.4154058004055544
FC_Cl__F_F,-0.07382488160158798,-0.08781934016506301,-0.04029475470470557,0.17091861795173321,-0.2304618517616059,-0.2176569181261909,0.22534081361470784,-0.25711698125208404
ClP_Cl_Cl,-0.07016628028602873,0.33636622414154776,-0.002215244674105568,-0.5784473207130286,-0.5704409119009334,0.190964723055752,0.634006904990607,0.26013745379341924
SF6,-0.07583723355116659,-0.08612495531284839,-0.11789103540994736,0.7371597613157819,-0.1994569520650476,0.2993491217838888,-0.6036675431764014,-0.17621649831825195
FS__O___O_C_F__F_F,-0.07810935554587158,0.05782408821878021,0.1043315718611195,0.15887093405037075,0.20567373730331448,0.3753427806622378,-0.2533823219970595,0.05788624645883949
FC_Br__Cl_F,-0.07291915004424754,0.13112465030371903,-0.02909675693958928,-0.24171455566994018,-0.3259569428270055,0.5410338729707697,0.1202552472609052,0.05425299123726023
FC_F_F,-0.07756903385200878,-0.22690623585990172,0.14618586534145547,0.5594564237706815,-0.18002721492187107,-0.6473325402104955,0.4121595982436902,-0.5346976801807409
FC_Cl__Cl_Cl,-0.07248619996903698,0.19470091671507803,-0.04580688618570078,-0.1573807683604012,-0.37349778902839503,0.192210520742282,0.4355119463223129,0.1656728180323581
O_C_O,-0.07271999300965071,-0.24628115830044336,-0.11789103540994736,0.6016233174254507,-0.29329844847996406,-0.9712399387083767,1.1477585627203084,-0.654352885478085
C_C,-0.07817343215700272,-0.1750433256008094,-0.11789103540994736,-0.1754522942124455,-0.2697347247105798,-1.1951097829778736,1.2411679550348,-0.5661858921010946
FC_C_F__F_F__F_F,-0.07896313309418675,-0.07352757228116542,-0.11789103540994736,0.1889901438037775,0.3652456210749347,0.19968530686146382,-0.5569628470191558,-0.08829172195603338
FS__O_F,-0.071739794039374,-0.13378873789471316,0.16261170127336094,0.16188285502571137,-0.4561775215525506,-0.4473820115223805,0.5172451645974927,-0.42400450442995874
C_CC_F__F_F,-0.08939722990676092,0.024083728987722975,0.28864840390471225,-0.25376223957130317,0.5719449523853232,-0.3229268226380023,0.2486931616933306,-0.05753016107999564
Cl2,-0.06890622238713594,-0.10741526932545874,-0.11789103540994736,-0.10316619080426903,-0.857256904027229,-0.6362449408003759,1.0076444742485715,-0.42182455129701113
SeF6,-0.0744898929171114,-0.024685087193412197,-0.11789103540994736,1.541342661731744,-0.23624943303829685,0.8848740344531357,-0.8138386758840065,-0.09519490687703411
FC__C_F_F_C__C_F_F_F,-0.08265359953528147,0.22254776341669302,-0.11386038797742591,-0.8700012711260066,0.8071687914165458,0.4986767516287389,-0.6970769354908927,0.26377070901499866
F_C__C__C_F__F_F__F__C_F__F_F,-0.08523225018323553,0.19993140908495807,-0.061032372568736205,-0.2989410542014136,1.11763118704475,0.9720798725102577,-1.3042379855350859,0.46602191634957835
ClSSCl,-0.07006895310912142,0.42845235741408405,0.0632669820313559,-0.6950086624587133,-0.6269525090811934,0.16231137626555445,0.634006904990607,0.28435915527061456
