Wall time,Step,Value
1772225067.59956,584,0.0002568588242866099
1772225067.639532,585,0.0004464407975319773
1772225067.679097,586,0.0006039036670699716
1772225067.759443,588,0.00040558940963819623
1772225067.84079,590,0.0010038414038717747
1772225067.88039,591,0.0015982675831764936
1772225067.920196,592,0.0008652102551423013
1772225067.999578,594,0.0004116680065635592
1772225068.079268,596,0.00038521483656950295
1772225068.119304,597,0.0005249107489362359
1772225068.15923,598,0.0005630728555843234
1772225068.198981,599,0.0004965477273799479
1772225068.280488,601,0.0005782678490504622
1772225068.319958,602,0.0006490449886769056
1772225068.360238,603,0.0011297789169475436
1772225068.445553,605,0.003920549992471933
1772225068.569158,608,0.006762925535440445
1772225068.65174,610,0.004215017426759005
1772225068.775327,613,0.002527260687202215
1772225068.8203,614,0.0022347690537571907
1772225068.903011,616,0.0021961212623864412
1772225068.983118,618,0.0009208714473061264
1772225069.060843,620,0.0014601910952478647
1772225069.147786,622,0.0007411772385239601
1772225069.189332,623,0.0004763445758726448
1772225069.309334,626,0.000778547371737659
1772225069.387302,628,0.0007459832704626024
1772225069.426803,629,0.0004837478627450764
1772225069.58164,633,0.00040751014603301883
1772225069.662811,635,0.00040878314757719636
1772225069.745271,637,0.0003552717680577189
1772225069.868168,640,0.00010314155952073634
1772225069.910463,641,7.489317795261741e-05
1772225069.950596,642,8.385523688048124e-05
1772225069.990997,643,7.532500603701919e-05
1772225070.032898,644,5.3262629080563784e-05
1772225070.072925,645,4.2050814954563975e-05
1772225070.238045,649,0.00011525906302267686
1772225070.318415,651,0.00011097466631326824
1772225070.361564,652,0.00010045708040706813
1772225070.402583,653,0.00010756147821666673
1772225070.442716,654,0.00018507543427404016
1772225070.482234,655,0.0005177395651116967
1772225070.60181,658,0.0005014064954593778
1772225070.642242,659,0.0010166424326598644
1772225070.683375,660,0.0012032310478389263
1772225070.975204,667,0.008973553776741028
1772225071.095409,670,0.023648899048566818
1772225071.298854,675,0.014348212629556656
1772225071.339028,676,0.011057198978960514
1772225071.379121,677,0.008490134961903095
1772225071.49703,680,0.023106694221496582
1772225071.577611,682,0.020840415731072426
1772225071.618576,683,0.016098402440547943
1772225071.660466,684,0.020559849217534065
1772225071.785352,687,0.03439302369952202
1772225071.987755,692,0.004405322019010782
1772225072.068304,694,0.0047119962982833385
1772225072.108422,695,0.0022123914677649736
1772225072.149676,696,0.001041920157149434
1772225072.191155,697,0.0007504915120080113
1772225072.271686,699,0.0002688208769541234
1772225072.393765,702,0.0003263317048549652
1772225072.432882,703,0.0002639808808453381
1772225072.511256,705,9.103613410843536e-05
1772225072.670409,709,0.0002640910679474473
1772225072.70945,710,0.00042314204620197415
1772225072.790238,712,0.00029315956635400653
1772225072.911242,715,0.00012748458539135754
1772225072.992334,717,0.00013520396896637976
1772225073.071062,719,7.68317113397643e-05
1772225073.110358,720,6.183546793181449e-05
1772225073.150638,721,5.52361634618137e-05
1772225073.231338,723,8.204302139347419e-05
1772225073.31104,725,0.00012564068310894072
1772225073.351025,726,0.00011057499796152115
1772225073.392825,727,0.0001205153384944424
1772225073.433692,728,0.00016200606478378177
1772225073.473917,729,0.00010391264368081465
1772225073.552384,731,4.577668005367741e-05
1772225073.591879,732,5.810040602227673e-05
1772225073.632484,733,4.73033833259251e-05
1772225073.836693,738,7.495135650970042e-05
1772225073.878409,739,6.681514059891924e-05
1772225073.917896,740,7.209468458313495e-05
