Vibrational ZPE	Polarizability	Dipole Moment	Adiabatic IE	Cohesive Energy	Molecular Mass	Number e-	Molecular Volume
5627.0	2.656	2.408	10.75	-1534.0	30.02	16.0	43.32
15390.0	6.124	1.838	9.752	-3552.0	60.07	32.0	84.98
10430.0	6.679	1.452	12.22	-4411.0	170.0	82.0	117.3
18450.0	6.237	2.528	11.05	-4250.0	80.07	42.0	96.1
14080.0	6.956	1.091	9.873	-3026.0	62.14	34.0	94.29
7472.0	6.606	1.683	11.41	-2953.0	136.5	66.0	103.8
10410.0	6.694	1.5	11.72	-4384.0	170.0	82.0	117.3
3386.0	7.618	0.8052	9.931	-1929.0	136.5	66.0	106.2
7152.0	7.158	0.1912	10.19	-3092.0	147.0	72.0	106.8
5434.0	7.471	1.509	10.56	-1316.0	111.0	52.0	91.56
8738.0	6.314	2.107	10.3	-3677.0	132.0	64.0	101.4
20310.0	8.662	0.5792	8.875	-4378.0	53.7	30.0	112.6
2762.0	5.633	0.624	12.89	-714.7	130.4	62.0	78.6
6524.0	4.486	1.876	11.45	-1638.0	68.47	34.0	68.24
15350.0	6.372	2.554	11.3	-4314.0	116.1	58.0	104.2
12470.0	7.201	0.6807	9.96	-5455000.0	90.69	44.0	88.51
18230.0	7.172	0.166	9.085	-4092.0	54.09	30.0	90.73
9032.0	6.141	1.478	14640.0	-2219.0	62.49	32.0	80.6
6136.0	7.451	1.189	11.33	-3258.0	148.5	72.0	112.2
20280.0	6.242	2.085	10.73	-4181.0	62.08	34.0	91.95
8430.0	7.502	1.505	20440.0	-4287.0	162.0	78.0	114.9
5544.0	6.637	2.597	9.131	-2745.0	111.0	54.0	89.53
3612.0	3.743	1.5	12.08	-1749.0	83.01	40.0	63.98
10640.0	6.43	2.29	20080.0	-2920.0	100.5	50.0	95.38
12800.0	7.001	2.895	9.189	-3775.0	112.1	56.0	104.1
6418.0	7.439	0.2716	10.86	-2464.0	149.0	72.0	108.8
7455.0	8.046	0.7274	10.33	-3645.0	187.5	90.0	127.9
2599.0	6.058	0.3739	10.11	-1156.0	77.47	38.0	76.62
8778.0	6.328	1.475	10.31	-3683.0	132.0	64.0	101.4
6866.0	6.337	0.1347	9.772	-3447.0	149.0	72.0	106.4
9868.0	4.306	2.746	10.22	-2164.0	67.04	34.0	68.29
11690.0	5.522	0.8438	10.0	-2876.0	40.06	22.0	74.12
3658.0	7.859	1.09	94450.0	-1590.0	207.0	96.0	109.6
13510.0	3.921	1.305	8.856	-2403.0	31.06	18.0	57.88
7479.0	6.559	1.474	11.54	-2971.0	136.5	66.0	103.9
20410.0	6.215	1.985	10.64	-4164.0	62.08	34.0	91.64
9337.0	7.185	0.09868	11.91	-4665.0	182.0	88.0	120.1
8368.0	7.573	0.005118	11.0	-3962.0	186.0	90.0	124.9
775.6	5.619	0.5613	10.62	-389.1	86.9	42.0	75.03
16980.0	6.273	2.571	11.46	-4299.0	98.06	50.0	99.84
7228.0	6.458	1.026	11.39	-3575.0	148.0	72.0	106.1
18050.0	8.632	0.0	8.612	-4152.0	54.09	30.0	98.26
11220.0	4.537	3.315	11.36	-3021.0	84.04	42.0	76.94
10180.0	5.062	2.629	10.1	-2457.0	61.04	32.0	72.51
16780.0	7.446	2.594	10.52	-4287.0	96.15	50.0	109.8
15280.0	6.094	1.55	9.289	-3564.0	60.07	32.0	84.6
4410.0	6.333	1.73	10.49	-2407.0	136.1	66.0	95.61
3892.0	6.887	0.0	11.59	-3499.0	170.2	82.0	115.7
