Molecule,SHAP_Vibrational ZPE,SHAP_Polarizability,SHAP_Dipole Moment,SHAP_Adiabatic IE,SHAP_Cohesive Energy,SHAP_Molecular Mass,SHAP_Number e-,SHAP_Molecular Volume
FC_C_Cl__F_F__Cl_F,0.003966507753941515,0.30968055013583934,0.0020098164669008316,0.015167220356263411,0.015182297174372724,0.0624179190986099,0.012659672752967881,0.19704909936230966
FC_C_F__F_F__Cl_Cl,0.0017577220154573554,0.3017826400754947,-0.003678519212540289,0.004526417407113292,0.013378167568171178,0.06049470845884433,0.012227798758920256,0.19109889986133646
CBr,-0.024638934591128512,-0.18273307046251705,0.0004039554709156629,-0.0391808134623048,-0.02916749117103466,-0.017268088631387984,-0.045711412002044295,-0.13578651969043495
O_S_O,0.037753003892988364,-0.27053662666789363,0.043862541941717424,0.0213518811789017,0.015299451193738298,-0.10893314864322688,-0.04337188670110989,-0.19185512968872093
FS_C_F__F_F__F__F__F_F,-0.009138463320149061,0.26391735210118766,0.001856980684186011,0.0040333670473356375,0.011029938633418142,0.05898967673493364,0.012164769005549315,0.1862886459934915
O_C_S,0.028300195252186276,-0.1475503273898171,0.007766703813766146,0.004332128317591097,0.0012020071196193918,-0.07587522650820998,-0.027252361882965388,-0.08868725984967983
N_N,0.02156665818563672,-0.36677909408971965,-0.028120235900188157,0.008562300753300903,0.0044636324129946345,-0.09875872777927508,-0.028533856915413474,-0.21078394894745167
O_O,0.019762661936481105,-0.3665133309698983,-0.027035857186976053,-0.005898941378637451,-0.015961637816441755,-0.10189912804575725,-0.03227504210834102,-0.208926252205331
FC_Cl__Cl_F,0.009325770861952857,-0.14483429728540315,-0.013566261184610167,0.0023280814937734185,-0.011944978629697586,0.06637037577667876,0.019967893446462315,-0.028835552765879967
ClC_Cl_Cl,0.00803046552699186,0.35277744697219776,0.025741026031821036,-0.0029567619243821993,0.0018927280445072353,0.07527841812253307,-0.007690996221917567,0.048394777806278176
FC_Br__F_F,0.0003345350191304249,-0.18951172744093142,-0.033040786425814865,-0.006072549578639227,-0.023647671646429384,0.05826468991057153,0.012751590823803614,-0.03600123530688834
ClC_Cl__Cl_Cl,0.018515222556571002,0.7208227713902619,-0.01835821005810691,0.002989473928797561,0.010682696567091353,0.07681680407242863,0.018609656360851035,0.3068535538472115
CC_Cl__Cl_Cl,-5.846837041704281e-06,0.7133573923982904,0.005568545241435311,-0.017920073995098616,0.01955716313809455,0.07418547608849138,0.010799970947809651,0.3169481075483628
CCl,-0.021113960049662685,-0.31264721261397244,0.0015985766749754171,-0.004215704648594269,-0.022659931017941462,-0.10313429101354722,-0.03772733957439492,-0.17164407457107803
FC_Cl__F_F,-0.0005236975936571993,-0.25038438352386755,-0.04315704333925778,0.011638242988762565,-0.024134127124353588,0.043488756730521654,0.012571780913937859,-0.11006627053041129
ClP_Cl_Cl,0.01997080575249222,0.6879542364482931,-0.005125396708556315,-0.022168775780172477,0.008618552292985126,0.07495925116991266,0.01082953780267122,0.22390593393348285
SF6,0.002573650637882232,-0.18891251165801348,-0.04282804265638096,0.032565425922976766,-0.01771461974562435,0.08469614582975821,0.02593858666681491,0.002244744254825713
FS__O___O_C_F__F_F,0.008113799988092155,0.12079676231095787,0.044305280961462634,0.02086859093112721,0.019182725522645466,0.07242286623896586,0.020590015997867934,0.040622002041589576
FC_Br__Cl_F,0.014049992784931435,0.2924545252318183,-0.002806605352668698,-0.01153630678497764,-0.005969067298336153,0.06337648133434316,0.015063852718668487,0.037815554601146294
FC_F_F,-0.00900049855634953,-0.36523572407638977,0.01799408517427071,0.016676502119919275,-0.019161485981871076,-0.10691447117885468,0.027363037326888315,-0.21551385961108613
FC_Cl__Cl_Cl,0.010658656918062523,0.3425564754112062,-0.021742101869832893,0.01447341939656251,-0.002943082188917465,0.08101398460202985,0.013445119612115891,0.19221327967525445
O_C_O,0.004920004288912288,-0.3694382204882454,-0.02457435942278992,0.011213848356859922,-0.01051474335665935,-0.09366148532629413,-0.02647618450835589,-0.21033195846682246
C_C,-0.004999317894546369,-0.3253087989780323,-0.019016453232947258,0.001904704046871474,-0.011972009702521819,-0.08119548501311012,-0.021497219178533727,-0.19489016895510294
FC_C_F__F_F__F_F,-0.01615097304408819,-0.178243702993628,-0.04193916214506032,0.008474242929939505,0.018557663776114182,0.06163657401216367,0.008774291779868437,-0.04523671180644526
FS__O_F,0.06249242546363539,-0.20786840486086153,0.06591421870369936,0.03026372968530775,0.04231439122246285,0.037717129024946526,0.04547369811665342,-0.09480499889919167
C_CC_F__F_F,-0.028676799692826695,-0.17726826494719605,0.008547162483627935,-0.027855655325333697,0.028941713714976704,0.030219393597162334,0.015788201251723966,-0.04713175269874626
Cl2,0.026547670631554502,-0.3179714609078972,-0.03070207643396079,-0.005912247049516863,-0.009381390142555188,-0.10146381813283922,-0.040958848607435774,-0.1617616155163142
SeF6,0.004836252647680389,-0.1548795080104374,-0.03614596513153892,0.036883184071054564,-0.014188869737690693,0.09389615655940223,0.0344730457267067,-0.015528747850136002
FC__C_F_F_C__C_F_F_F,-0.004041686474833871,0.28877439056166015,-0.02390618012186019,-0.03420356203347648,0.019728183423807593,0.04764600415535678,0.011116501506870694,0.1839625752061492
F_C__C__C_F__F_F__F__C_F__F_F,0.0023813105926580504,0.3339484776029809,-0.01658814488129803,-0.012590192028304342,0.02349452674724404,0.0639546260949342,0.012312852275486565,0.27429051721448
ClSSCl,0.019148553364655353,0.690345867659212,0.025648092032696718,-0.025299458899886315,0.007605655345836165,0.07780559222028295,0.011112738383710793,0.23131304536800895
