number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_learning_rate,params_n_layers,params_n_units,params_optimizer,state
64,0.2822216585278511,2026-02-27 13:27:56.730821,2026-02-27 13:28:18.197406,0 days 00:00:21.466585,swish,4,0.1,0.009742900230477148,2,12,adam,COMPLETE
65,0.2576849162578583,2026-02-27 13:28:18.223859,2026-02-27 13:28:36.817313,0 days 00:00:18.593454,swish,4,0.1,0.007956821940796372,2,16,adam,COMPLETE
66,0.3635455399751663,2026-02-27 13:28:36.834936,2026-02-27 13:28:59.433322,0 days 00:00:22.598386,relu,16,0.3,0.004571959808901978,2,16,adam,COMPLETE
67,0.32368200123310087,2026-02-27 13:28:59.459806,2026-02-27 13:29:19.087619,0 days 00:00:19.627813,swish,4,0.1,0.003127948437148199,2,16,adam,COMPLETE
68,0.4557639628648758,2026-02-27 13:29:19.113685,2026-02-27 13:29:41.437020,0 days 00:00:22.323335,leaky_relu,4,0.2,0.007197887008974823,2,16,sgd,COMPLETE
69,0.4447204738855362,2026-02-27 13:29:41.460970,2026-02-27 13:30:03.306125,0 days 00:00:21.845155,swish,8,0.0,0.0010543019778962988,2,16,adam,COMPLETE
70,0.32806419432163236,2026-02-27 13:30:03.325914,2026-02-27 13:30:23.189077,0 days 00:00:19.863163,swish,4,0.1,0.0055571012018514635,2,16,rmsprop,COMPLETE
71,0.2703761175274849,2026-02-27 13:30:23.203273,2026-02-27 13:30:46.250015,0 days 00:00:23.046742,swish,4,0.1,0.008009355844055955,2,12,adam,COMPLETE
72,0.2976068139076233,2026-02-27 13:30:46.274364,2026-02-27 13:31:08.346009,0 days 00:00:22.071645,swish,4,0.1,0.00832418009168536,2,12,adam,COMPLETE
73,0.34185387194156647,2026-02-27 13:31:08.360212,2026-02-27 13:31:27.022455,0 days 00:00:18.662243,swish,4,0.1,0.007916469494356468,2,16,adam,COMPLETE
74,0.33119393438100814,2026-02-27 13:31:27.044757,2026-02-27 13:31:50.138983,0 days 00:00:23.094226,swish,4,0.1,0.004111790220386232,2,12,adam,COMPLETE
75,0.2915961444377899,2026-02-27 13:31:50.156067,2026-02-27 13:32:13.307134,0 days 00:00:23.151067,swish,4,0.1,0.006465367793474758,2,16,adam,COMPLETE
76,0.26763506382703783,2026-02-27 13:32:13.328195,2026-02-27 13:32:35.037835,0 days 00:00:21.709640,swish,4,0.1,0.009878021682053876,2,12,adam,COMPLETE
77,0.2861950516700745,2026-02-27 13:32:35.058973,2026-02-27 13:32:57.283601,0 days 00:00:22.224628,swish,4,0.1,0.009756370427111373,2,12,adam,COMPLETE
