Molecule,SHAP_Vibrational ZPE,SHAP_Polarizability,SHAP_Dipole Moment,SHAP_Adiabatic IE,SHAP_Cohesive Energy,SHAP_Molecular Mass,SHAP_Molecular Volume
FC_Cl__F_F,-0.033573503264687665,-0.1758680919049671,-0.06693618479478018,0.0008897047320008953,-0.05028981092056783,-0.0053979105918950596,-0.014263119947560842
ClP_Cl_Cl,-0.06507212086974017,0.2994413591554973,-0.03092798637946837,-0.06991232407265226,-0.09978925408002132,0.01519126676745441,0.04680855574695765
SF6,-0.014767988903491243,-0.1396232125123716,-0.05351997195647854,0.02419435590019936,-0.03579305740570266,0.0521377086175171,0.02528584475928102
FS__O___O_C_F__F_F,0.0038907986075104647,0.017747333667342945,0.059742581070868814,0.03888406870422522,0.04162423420260095,0.05999555835487947,0.07094294147278003
FC_Br__Cl_F,-0.011297281704975922,0.22944276007913966,-0.02074722647383357,-0.005008311099560778,-0.01681258813562639,0.07363426189667127,0.07207736060415551
FC_F_F,-0.010976617005849652,-0.24572429140674185,0.008568177815844288,-0.003265548252903265,-0.025416670329744654,-0.09159888885995511,-0.3612145327857715
FC_Cl__Cl_Cl,-0.008069467134576307,0.27774412549887306,-0.030132648500666635,0.035051668979288964,-0.006115682306817842,0.06287551986946015,0.12279687657075301
O_C_O,-0.016933460160841046,-0.24061018274909068,-0.019547278744128985,-0.0061260036128559636,-0.02526724289700068,-0.13956376894643838,-0.3511233085470721
C_C,-0.01029599830869113,-0.15288132474777888,-0.011942922648306431,0.017424036911140334,-0.024272347969709417,-0.15495831665215118,-0.3288112900006971
FC_C_F__F_F__F_F,-0.01710551173227258,-0.18784824241518533,-0.06425778569010827,0.004869445617893283,0.032769118906795174,0.019677551562248815,-0.018593539376659036
FS__O_F,0.049376235146411034,0.019609976464242004,0.04983101817400876,0.050764521302335885,-0.007829353475119693,0.14112572277548346,-0.1986028692952686
C_CC_F__F_F,0.0007667719899625391,-0.20950641132678338,0.029395917300267835,-0.0505098257217093,0.048481987366747796,0.0059362845074863195,-0.013501731820705808
Cl2,0.028001654142620395,0.02947763726546881,-0.00946914703777515,0.022525037339536785,-0.025768700838513726,-0.06721004920535048,-0.21475161706134646
SeF6,-0.014231308883474738,-0.16480859626345865,-0.043727074664808296,0.028636641422292858,-0.02356036346655395,0.08299698005052059,0.011385648163281085
FC__C_F_F_C__C_F_F_F,0.010977849794484403,0.22014867112888137,-0.029424960155153376,-0.05530722256915358,0.03946364214312962,0.06554155771703636,0.10849226447234228
F_C__C__C_F__F_F__F__C_F__F_F,0.014301429041208978,0.23984432382506973,-0.026693105282985394,-0.016950490908888224,0.04231073893630479,0.06736980550122705,0.31565791991104697
