Molecule,SHAP_Polarizability,SHAP_Dipole Moment,SHAP_Adiabatic IE,SHAP_Cohesive Energy,SHAP_Molecular Mass,SHAP_Number e-,SHAP_Molecular Volume
FCF,-0.27296532205005775,0.2150000104658844,0.25526329702459905,-0.22999420728212547,-0.25434811927738116,0.21178367945289958,-0.7216138082790103
C,-0.28225653351183144,-0.20286754853446337,0.26824603431092625,-0.22568774575814843,-0.44636344020629254,0.41778078956049425,-0.8137465934229875
FC_C_F__F_F__Cl_F,0.10156341197403879,-0.0812326974079134,0.19034961059296143,-0.3220164903734213,0.2925593317730594,-0.1960905985601379,-0.013462987048675627
N_CC_C_F__F_F__F_F,0.11001841440425283,0.06474154199919167,0.16698068347757195,-0.38631120540683067,0.24186045604141235,-0.1796108297515303,0.02132673650829497
_N-___N___O,-0.2542899870118927,-0.18463163440691469,0.34354591057162587,-0.17922329247313462,-0.2970952766048015,0.3683414831346714,-0.7597625396276882
CC_F__F_F,-0.10126373423648032,0.30378910546893,0.19554270550749234,-0.32881616646391115,-0.08346622444292456,0.07582558678188708,-0.3869126747481559
FC_C_CC_F__F_F__F_F,0.23201202089734105,-0.20286754853446337,0.12283937670405837,-0.4203095858592799,0.3325847599822544,-0.2826093848053276,0.17008279585534133
FC_Cl_F,-0.09160087431623579,0.10551415672087003,0.10206699704593432,-0.22243901162602556,-0.07055135294075773,0.14586460421846922,-0.44317605525925635
FC_C_Cl__F_F__Cl_F,0.2701989000052307,-0.02290923127304564,-0.05112930293273035,-0.3088704499318076,0.38008160145716574,-0.1590111187407708,0.19047677173356542
FC_C_F__F_F__Cl_Cl,0.2746586815068822,-0.05219514489293133,-0.027760375817340817,-0.30955041754085655,0.38008160145716574,-0.1590111187407708,0.18927712609367
CBr,-0.020616018748284885,0.20651433938167724,-0.24846690968490903,-0.21352388075182774,-0.025295935445561236,0.2777027546873298,-0.4485744606387864
O_S_O,-0.16908957790742807,0.15829089151289022,0.17996342076389912,-0.1693335413592999,-0.19009396519222002,0.3271420611131525,-0.6376386134863226
FS_C_F__F_F__F__F__F_F,0.13361809151715795,-0.019307995251943093,0.41105614446052924,-0.3264740558105202,0.5145670402400607,-0.4886064949129223,0.06451397954453417
O_C_S,-0.055643885959171656,-0.035223802724517014,-0.0952706097062439,-0.19796017770026209,-0.2113874929995118,0.33538194551745626,-0.5251118524641214
N_N,-0.3561216646329321,-0.20286754853446337,1.0939481257213568,-0.1649893038570425,-0.3824828567844173,0.4013010207518865,-0.8780475997213881
O_O,-0.3856677170813725,-0.20286754853446337,-0.17057048596694363,-0.12125227620388063,-0.3611893289771255,0.39306113634758266,-0.9293924331089167
FC_Cl__Cl_F,0.08994939764682168,-0.09108435456909049,-0.014777638531013623,-0.21291946509933973,0.11324541339586575,0.07994552898403892,-0.17853422709830122
